Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,113.949997,118.989998,112.680000,112.820000,111.629189,231366600
2020-09-09,117.260002,119.139999,115.260002,117.320000,116.081696,176940500
2020-09-10,120.360001,120.500000,112.500000,113.489998,112.292122,182274400
2020-09-11,114.570000,115.230003,110.000000,112.000000,110.817848,180860300
2020-09-14,114.720001,115.930000,112.800003,115.360001,114.142387,140150100
2020-09-15,118.330002,118.830002,113.610001,115.540001,114.320480,184642000
2020-09-16,115.230003,116.000000,112.040001,112.129997,110.946480,154679000
2020-09-17,109.720001,112.199997,108.709999,110.339996,109.175369,178011000
2020-09-18,110.400002,110.879997,106.089996,106.839996,105.712311,287104900
2020-09-21,104.540001,110.190002,103.099998,110.080002,108.918114,195713800
2020-09-22,112.680000,112.860001,109.160004,111.809998,110.629845,183055400
2020-09-23,111.620003,112.110001,106.769997,107.120003,105.989357,150718700
2020-09-24,105.169998,110.250000,105.000000,108.220001,107.077736,167743300
2020-09-25,108.430000,112.440002,107.669998,112.279999,111.094887,149981400
2020-09-28,115.010002,115.320000,112.779999,114.959999,113.746605,137672400
2020-09-29,114.550003,115.309998,113.570000,114.089996,112.885773,99382200
2020-09-30,113.790001,117.260002,113.620003,115.809998,114.587624,142675200
2020-10-01,117.639999,117.720001,115.830002,116.790001,115.557289,116120400
2020-10-02,112.889999,115.370003,112.220001,113.019997,111.827080,144712000
2020-10-05,113.910004,116.650002,113.550003,116.500000,115.270355,106243800
2020-10-06,115.699997,116.120003,112.250000,113.160004,111.965607,161498200
2020-10-07,114.620003,115.550003,114.129997,115.080002,113.865334,96849000
2020-10-08,116.250000,116.400002,114.589996,114.970001,113.756493,83477200
2020-10-09,115.279999,117.000000,114.919998,116.970001,115.735390,100506900
2020-10-12,120.059998,125.180000,119.279999,124.400002,123.086960,240226800
2020-10-13,125.269997,125.389999,119.650002,121.099998,119.821793,262330500
2020-10-14,121.000000,123.029999,119.620003,121.190002,119.910843,150712000
2020-10-15,118.720001,121.199997,118.150002,120.709999,119.435913,112559200
2020-10-16,121.279999,121.550003,118.809998,119.019997,117.763748,115393800
2020-10-19,119.959999,120.419998,115.660004,115.980003,114.755844,120639300
